45,5
44,6
43,6
42,6
41,6
40,7
39,7
38,7
37,7
36,8
35,8
34,9
33,10
32,10
31,11
30,12
29,12
28,13
27,14
26,15
25,16
24,17
24,18
23,19
22,20
22,21
21,22
20,23
20,24
19,25
19,26
19,27
19,28
18,29
18,30
18,31
18,32
17,33
17,34
17,35
17,36
17,37
17,38
17,39
17,40
17,41
17,42
18,43
18,44
18,45
18,46
19,47
19,48
19,49
19,50
20,51
20,52
21,53
22,54
22,55
23,56
23,57
24,58
25,59
26,60
27,61
28,62
29,63
30,64
31,64
32,65
33,66
34,66
35,67
36,67
37,68
38,68
39,68
40,68
41,69
42,69
43,69
44,69
45,70
46,70
47,70
48,70
49,70
50,70
51,70
52,70
53,70
54,70
55,69
56,69
57,69
58,69
59,69
60,68
61,68
62,68
63,67
64,67
65,66
66,66
67,65
68,64
69,64
70,63
71,62
72,61
73,60
74,59
75,58
76,57
76,56
77,55
78,54
78,53
79,52
79,51
80,50
80,49
80,48
81,47
81,46
81,45
81,44
81,43
82,42
82,41
82,40
82,39
82,38
82,37
82,36
82,35
82,34
82,33
81,32
81,31
81,30
81,29
80,28
80,27
80,26
80,25
79,24
79,23
78,22
78,21
77,20
76,19
76,18
75,17
74,16
73,15
72,14
71,13
70,12
69,11
68,11
67,10
66,10
65,9
64,8
63,8
62,7
61,7
60,7
59,7
58,6
57,6
56,6
55,6
54,5
53,5
52,5
51,5
50,5
49,5
48,5
47,5
46,5
